gameID,officialName,officialType
2010020060,Derek Amell,Linesman
2010020061,Kelly Sutherland,Referee
2010020061,Dean Morton,Referee
2010020061,Michel Cormier,Linesman
2010020061,Jonny Murray,Linesman
2010020062,Dan O'Halloran,Referee
2010020062,Kevin Pollock,Referee
2010020062,Darren Gibbs,Linesman
2010020062,Steve Miller,Linesman
2010020063,Tim Peel,Referee
2010020063,Steve Kozari,Referee
2010020063,Dan Schachte,Linesman
2010020063,Greg Devorski,Linesman
2010020064,Gord Dwyer,Referee
2010020064,Brad Watson,Referee
2010020064,Brad Kovachik,Linesman
2010020064,Andy McElman,Linesman
2010020065,Wes McCauley,Referee
2010020065,Bill McCreary,Referee
2010020065,Brad Lazarowich,Linesman
2010020065,Mike Cvik,Linesman
2010020066,Rob Martell,Referee
2010020066,Chris Lee,Referee
2010020066,Mark Wheler,Linesman
2010020066,Bryan Pancich,Linesman
2010020067,Gord Dwyer,Referee
2010020067,Brad Watson,Referee
2010020067,Brad Kovachik,Linesman
2010020067,Andy McElman,Linesman
2010020068,Wes McCauley,Referee
2010020068,Bill McCreary,Referee
2010020068,Vaughan Rody,Linesman
2010020068,Brad Lazarowich,Linesman
2010020069,Brian Pochmara,Referee
2010020069,Don VanMassenhoven,Referee
2010020069,Greg Devorski,Linesman
2010020069,Lonnie Cameron,Linesman
2010020070,Kelly Sutherland,Referee
2010020070,Chris Ciamaga,Referee
2010020070,Jay Sharrers,Linesman
2010020070,Tim Nowak,Linesman
2010020071,Tim Peel,Referee
2010020071,Tom Kowal,Referee
2010020071,Scott Driscoll,Linesman
2010020071,David Brisebois,Linesman
2010020072,Eric Furlatt,Referee
2010020072,Brad Meier,Referee
2010020072,Steve Barton,Linesman
2010020072,Brian Mach,Linesman
2010020073,Mike Leggo,Referee
2010020073,Greg Kimmerly,Referee
2010020073,Michel Cormier,Linesman
2010020073,Jonny Murray,Linesman
2010020074,Paul Devorski,Referee
2010020074,David Banfield,Referee
2010020074,Jay Sharrers,Linesman
2010020074,Pierre Champoux,Linesman
2010020075,Gord Dwyer,Referee
2010020075,Marc Joannette,Referee
2010020075,Dan Schachte,Linesman
2010020075,Jonny Murray,Linesman
2010020076,Mike Leggo,Referee
2010020076,Chris Lee,Referee
2010020076,Michel Cormier,Linesman
2010020076,Don Henderson,Linesman
2010020077,Bill McCreary,Referee
